service,environment,username,secret_key,notes
slack,uat,svc-app,AIza3y2guFaABd5VTwQL8tPZyjOj0JFYFE6PHXr,rotate
slack,uat,api-gateway,ghp_eoJcLNUcyCniq7nfp7G2DRD3AZFExsEcXJph,in-use
azure,dev,api-gateway,xoxb-97864044394-94621677606-52JmxbW5QygxBN9910T1HBGP,in-use
db,sit,integration-user,t2brzhjpzsxAnxUy8IUm,in-use
db,uat,api-gateway,xoxb-89910479510-64974071278-J5nEDTLfLKQijboBUtDqaIt5,rotate
salesforce,prod,api-gateway,5Aepe88LHm8JUMHjAnoabQ6IZ4UUZmReSdEzL23A4SHFOaRLr3X3JkoUEFS1SGKNjdX9IXQ4DoTi304E9BocMVqa6mVqjpsq,rotate
github,dev,etl-user,eyJIDEjKFNfLx4LfsoKVRk783bUj.0icLyg4VAIreHXDAPHzQ5NBl7h1sVE.XHf6Q3dSG6vKlcvhzj03tjXFbcLzbwzb0FN,in-use
github,uat,integration-user,00D44hdrnbGBHB5!AQ0AQxj2GpholIdk5dDDbonHmX1BDPTZw3362Gk90qxtvrYs4SOFjtvtTOMSmoqa3cP4vW,in-use
salesforce,sit,integration-user,eyJa2hj6HcUXrdJ0po5oeYZ2Rx1v.yI1djiNblRU7PJRBwnlWruHQ2Kphkh.qTKFobBBeQAdTIXng5XtLJmfwOoMC5mEuY6,in-use
azure,dev,build-agent,DefaultEndpointsProtocol=https;AccountName=93ncijer1f;AccountKey=occjDUaPKxN8GqiofIPRjAlNK2Rsyo3rrDKlNzWY0M1jvZZX==;EndpointSuffix=core.windows.net,rotate
aws,sit,etl-user,eyJ1lTanMIwJ4ZQGsnP4m8NaLobH.XXnfhsExJHBeznFT6odn55NDuvXjoj.NI5e6OKuF1bnZiEtnvisYYn4SWHkm1mnjhd,in-use
salesforce,uat,svc-app,00DsjvIMqIdoThF!AQ0AQFOSTYUWpOGknNZ4cJOEf14W6em1scjerzovBXpd1tvYQlNhq0OCCgIU4JiP52MAwH,in-use
slack,prod,build-agent,aU5VBtCxv3OL9bAloZXz0mUoggydd1LumbkUH3nodzQ6EDQLyEuiyGskZKXWMVQm,rotate
github,prod,etl-user,AIzaXLmnS11kgujXiz07HZ35TdmefynXhTCVBvr,in-use
slack,sit,api-gateway,00DlVv38BWK6LRi!AQ0AQyXqJOdyc9K6kRNZI2DEmM1nlg6IUTiN1GBuP5vQYMns3GXaMBPCP1koOW5OyzjT86,in-use
slack,sit,api-gateway,H2oYAUCAMx1hoaXCwpOr,rotate
aws,prod,integration-user,detjHiY3DaE05OTHy4kzeAckNi5bk7QsyfRuDZIy90wEd4HGmJm8TqMSlyLCVJwB,rotate
aws,dev,build-agent,eyJJ76QQ2bYtDcMA0yui6CKpDF0e.AHE2h6beBDy6claOpRtiFivlbtkquR.lMj2bw9ObpelWuvutByzMnsLuZOkj5Yw8j8,rotate
salesforce,uat,integration-user,00DmagokFwGMCLK!AQ0AQ9zJThJn0epJEOnAA7d7S3Ct5lgNC0MclPUuSFZvTplZB7oUCVEoF1pfPYk4WzQ62N,in-use
salesforce,dev,build-agent,xoxb-89098535191-25562108424-1EktRpuAClfrjTC7pDRyhqoN,in-use
slack,sit,integration-user,Gq1jndJ4YqoVxSa0PgWt,in-use
db,uat,api-gateway,Fcjen2bPWcOF8EMmzFlrhJZMP9HuHESh4c6DA8SHBz2S8Ui095L35WjhcZVnygxy,rotate
slack,uat,api-gateway,AIzaUne9ZLNQGaknNulByQw7cFuH2L166V1xdoW,in-use
aws,prod,integration-user,5AepZ1sracWJ5JwtvNgJJb4XEEd7FfokJm7XCdiEiotRiZBNWinpRGIWVWQsekrihZf0ZuOt5UaPURbQyH2EpDQ0EaMN6RNW,in-use
azure,dev,build-agent,AKIAtplPsr5geI7792mO,in-use
db,prod,api-gateway,eyJwcjao4GA2ABxyLYFPxm9crUz0.l23OaG6YeshF2dMkRoMqyHosQyjVFG.kiqmzJ0S8PQE6pj1KSLOpi65eyMrbyYjB5b,in-use
salesforce,dev,build-agent,eyJPkf1AKm7MGUjv5l1kLqBsssqr.QzxA1dzp2bjCyxQ7wSenRUnrxXLnDD.WsU3kFWe0PNV8gUFAgrSL0CLLr90et0zIlC,in-use
db,prod,build-agent,AKIAID9iX6FqexjC6y4M,in-use
slack,uat,api-gateway,5bqvhbDAUCDh6xibUPlh9yVPeYHuyimsoOeKbwXY,in-use
azure,prod,etl-user,eyJiYc0dZWU6TNVaIctjqJ7FuGFk.6ZdgzUyPcYL6l2fML431K0ZDgV4wqU.R7XTeon6yNVrmCrdsi6CUqvyT1guvIeza8t,in-use
aws,dev,svc-app,bV8DHPM01rMoC5SjLTR6,rotate
azure,uat,etl-user,3AWKyxWjD2OtKQHmIIZ0QbyGgsCJ96YSXm1vAC69NGvAlb9M1W2yKfSWrLmVJyCR,in-use
azure,sit,svc-app,H0PD8qKgN4MVZhXt6YrrzjcgxWlMMADVC9RZokYx,in-use
db,dev,integration-user,zGsAFehcAIMjC97KNSD7eM6nPKVQs2xxEgcARy4I4dqxRFy1uljhTdV5vQ3OshqN,in-use
github,prod,api-gateway,DefaultEndpointsProtocol=https;AccountName=6axti0k5bz;AccountKey=AGDX7X3IXLieAgoqRF8ywLaUNfPwYgnXRk771cxdbg1Rw25Z==;EndpointSuffix=core.windows.net,in-use
db,uat,svc-app,xoxb-85020671639-46323764343-ZLln9o6Ma46KYfVigvXR8CxD,in-use
github,prod,svc-app,00DhnGnQLqMfPDl!AQ0AQ1LpqWc7wdvDgVBy1Elrjyubp0td6JXKLSjql2p1bUA4fvNQi2ExPYxIUIv2QhnXXR,in-use
salesforce,sit,etl-user,-----BEGIN PRIVATE KEY-----\nFAKE-NOT-A-REAL-KEY-vFdNIh76aEgv7SBm8jd39CUAJxlDEl20UjaqAJUH2433eB4O\n-----END PRIVATE KEY-----,in-use
db,uat,build-agent,00DeExQlEjTeWzg!AQ0AQHamlV7JsohJHZpeu09PRGkdYeKiHDlBCn6Us0FPFbKa6YTMrS2TLCWjp7K9lG06n1,in-use
db,dev,build-agent,3MVG9PuRXwrknqcxIFwudGLNgfaGCHpvZW1KrZRIBiYp18u6VHUXHwiDe0g0PhAhLJWp9AVm,in-use
slack,uat,svc-app,5AepPyMSbcqrhQrJlUx7eXMhOW71s8k105hnx4Os94QbGvvOIkqmP5S948hleSzL4mprJvhMIXOEZDjdoIEhFQi0TSAz5wnL,rotate
db,prod,build-agent,xoxb-94947693455-71253289006-HkOJTT5cbvAOBZPHPzcHAK2p,rotate
github,dev,etl-user,AKIAQK6b7UeYcN4ocYFG,in-use
slack,uat,build-agent,xoxb-19349294880-81387066918-kHebRejfb3Gq9MAdui8nKCTR,in-use
salesforce,uat,integration-user,xoxb-26783134284-29072068126-wUZ84NYXKaafKiESgEOgxzzo,in-use
db,prod,integration-user,5AepOm5Rfo71vqThQ2sVzcLt4Wa64OxLxggfWwZsd79XuapIqq14U4Z7wA2epb8UulbsMwDkSqbjgilKnkb5s1fLOCTDrPoB,in-use
